node0,node1
816,250845
816,384555
816,1832607
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
816,518232
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
816,651984
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
816,785756
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
816,916770
13896,2350261
13896,2350261
13896,2350261
13896,2350261
13896,2350261
816,1050436
816,1184137
816,1317860
816,1451553
